steps,calories_burned,sleep_hours,heart_rate_avg,cluster
11391,3611.02,0.5,135,3
18852,2124.16,6.0,129,3
2416,3978.48,9.4,106,1
8443,1932.99,11.5,80,1
7218,3158.56,2.7,129,3
25391,2026.7,2.6,145,3
15657,3314.23,0.5,151,3
4801,2864.36,4.4,146,3
1226,2974.62,2.6,157,3
25741,2627.88,9.0,67,2
5662,3424.86,11.7,173,0
20512,2921.72,1.7,164,3
145,2251.3,0.5,129,1
26247,2666.3,5.7,64,2
20737,2401.01,3.1,112,2
16151,2364.84,10.4,148,0
14235,3767.15,7.0,67,1
19974,1531.55,4.9,138,3
29054,3510.74,6.8,177,0
17866,2723.97,11.7,162,0
1537,1833.26,0.2,80,1
11289,3832.72,5.2,127,3
11479,2530.42,3.1,81,1
19138,1718.37,10.2,147,0
17759,1765.03,11.2,142,0
15130,1596.57,11.2,101,0
13937,3199.02,1.9,145,3
12346,1977.77,10.8,118,0
11905,3166.44,3.9,139,3
6062,3635.86,10.1,74,1
18401,2965.63,3.7,97,2
29229,1815.35,5.2,158,3
17313,3433.35,7.1,108,2
15944,2289.13,8.8,70,2
5000,2388.04,3.3,163,3
8838,3489.42,6.1,95,1
5964,3212.07,4.3,172,3
7385,3262.21,4.3,157,3
23486,2835.54,4.7,130,3
7101,3556.89,9.8,104,1
16077,2786.42,10.6,162,0
20769,1741.28,8.7,149,0
15501,2847.78,2.7,167,3
25613,1726.98,11.0,178,0
8725,3527.22,6.5,122,1
7802,2149.75,8.9,101,1
19798,2462.4,0.3,124,3
19758,3471.74,2.6,161,3
1803,3237.79,7.5,75,1
11255,3113.04,2.6,136,3
5170,3111.33,5.4,159,3
28896,2146.16,9.5,111,2
23398,1508.97,1.6,151,3
17332,2160.72,6.6,85,2
3084,3385.66,5.5,113,1
11841,2332.15,2.8,100,1
16555,2180.11,3.4,81,2
23735,2722.48,6.6,118,2
21646,3373.66,7.4,108,2
20596,1871.62,2.4,79,2
719,3359.47,2.0,175,3
12433,3228.42,0.4,166,3
24811,3618.49,10.2,109,2
28507,2841.49,10.2,97,2
29772,2358.62,6.8,124,2
27558,2087.73,10.2,118,2
25209,3105.21,10.6,122,2
25839,2821.25,1.1,73,2
11702,3738.92,5.4,71,1
17742,2362.89,6.8,175,0
16141,3160.77,3.3,97,2
16260,1622.98,3.3,112,3
1227,2795.25,9.3,110,1
6716,2856.75,10.5,90,1
1506,1700.53,5.6,144,1
12900,3796.0,2.9,73,1
27029,3410.52,1.7,164,3
1953,3297.57,4.1,155,3
630,2070.36,11.8,145,0
3943,3130.3,5.4,63,1
9961,1821.21,10.2,80,1
1570,2486.28,5.4,82,1
25590,3294.91,1.7,71,2
29226,3584.67,10.8,99,2
18184,3066.05,3.2,176,3
26715,1969.23,5.1,136,2
17877,2384.13,10.9,82,2
27637,1522.31,0.7,119,3
4488,2726.69,2.1,86,1
19824,2900.22,10.5,176,0
7665,2784.92,3.6,132,3
16789,3878.62,3.2,137,3
28770,2025.87,10.5,75,2
29382,1667.48,9.9,96,2
26009,2860.02,11.9,71,2
7703,2594.67,0.9,101,1
2025,2030.36,6.3,78,1
4508,3971.52,10.8,135,0
15187,2121.9,7.2,153,0
3838,3074.31,2.2,92,1
6543,2785.39,11.1,145,0
21167,2117.49,2.5,136,3
28992,2331.85,4.6,160,3
21781,3487.84,11.7,124,0
283,1564.66,2.0,61,1
9244,3914.65,2.5,143,3
17372,2963.34,0.0,133,3
8779,1639.71,2.5,61,1
11905,1527.24,7.4,99,1
12755,3868.94,10.6,120,0
15483,1527.78,4.1,156,3
18662,1849.02,4.6,153,3
4327,2027.53,4.0,108,1
1697,3052.02,1.0,109,1
9039,3321.63,2.3,79,1
9429,2506.71,10.7,127,0
26541,2309.29,4.9,163,3
19688,1718.51,8.4,118,2
27282,2551.21,2.4,160,3
11613,2419.03,1.3,74,1
6011,1637.41,10.7,162,0
19882,3456.29,10.8,140,0
24683,3490.43,10.4,137,0
13704,3633.13,11.3,78,2
15267,3937.38,11.1,137,0
14146,3556.99,10.8,157,0
21796,3438.34,7.1,74,2
22457,2120.67,9.1,80,2
24966,3639.12,6.7,146,0
27731,3263.81,2.1,166,3
14195,3827.55,11.8,69,2
12755,3410.29,2.8,107,1
6631,1823.08,9.0,156,0
20901,1638.19,8.8,99,2
13512,2354.89,0.2,79,1
15808,1930.0,4.4,161,3
15059,3764.37,6.2,74,2
9941,3229.6,0.5,75,1
18270,2481.86,4.5,167,3
12474,3306.19,11.9,132,0
7957,3867.62,1.6,108,1
26986,2367.8,9.3,115,2
101,3291.66,4.3,81,1
10399,2371.46,0.3,111,3
6738,2704.09,0.6,108,1
16928,2455.45,0.5,90,3
995,2254.38,4.7,95,1
27404,2593.76,0.7,146,3
9811,3593.41,6.7,135,0
264,3627.15,5.4,104,1
2666,1808.78,1.0,87,1
9195,3728.46,0.6,167,3
7389,1852.74,4.8,152,3
21485,2239.33,9.1,109,2
3752,3461.76,7.6,123,1
28082,2250.82,1.6,171,3
15742,3194.14,6.8,179,0
11642,3731.86,2.4,71,1
15504,2397.51,3.8,126,3
29748,2373.46,9.0,150,0
19436,3707.55,4.1,157,3
18618,3766.24,7.0,72,2
11274,2684.03,0.4,152,3
14857,3712.06,5.0,89,1
22971,1859.25,6.7,165,0
22701,3425.5,2.6,125,3
8836,2552.74,7.8,127,0
13373,3756.83,5.4,89,1
6234,3815.08,4.2,113,1
15387,1942.64,4.9,168,3
18453,3780.12,9.7,65,2
2370,2951.96,9.5,162,0
18497,1540.22,1.9,173,3
13145,3184.77,9.4,141,0
29695,3585.04,8.5,119,2
8019,2108.99,11.0,165,0
17567,3852.4,2.0,90,2
8328,1834.59,5.2,60,1
28777,3425.53,6.2,105,2
24470,2253.18,0.3,148,3
20040,2919.5,9.2,85,2
12645,3748.22,11.3,93,0
28089,1513.18,6.2,88,2
8581,1590.18,7.3,147,0
15043,2829.44,7.3,148,0
26890,3555.13,5.1,113,2
14404,2735.51,11.9,169,0
21555,2908.23,5.6,147,3
15685,3482.84,5.3,139,3
631,2439.23,7.0,131,1
22492,3122.43,6.0,151,3
7964,2617.37,8.7,124,0
15751,2327.71,0.4,77,1
18714,3763.62,7.2,91,2
662,3372.32,5.7,176,0
16246,1585.62,0.7,92,3
21907,3383.35,2.3,132,3
11367,3851.33,7.1,161,0
5928,2697.03,11.8,178,0
26282,3583.07,9.9,122,2
12215,3342.83,2.4,117,3
12007,2625.28,9.2,137,0
15310,2914.83,8.9,141,0
14199,1523.84,0.5,177,3
17064,2588.49,5.7,158,3
19017,2376.34,11.8,116,0
18750,1560.43,2.3,104,3
1913,2919.13,9.5,142,0
10753,1642.29,7.9,119,0
20107,2658.63,7.5,63,2
27655,3837.27,10.4,178,0
10056,1837.53,9.7,98,1
20580,2587.76,9.0,103,2
10648,2263.89,6.6,102,1
13511,3961.31,8.1,113,0
10941,1701.2,7.0,82,1
9177,3699.13,6.8,161,0
8728,2510.93,6.5,112,1
25501,3791.48,4.7,108,2
19462,1568.86,5.0,97,2
7497,3375.48,1.8,65,1
3519,2196.16,6.2,155,0
2235,2302.55,1.0,84,1
931,2568.15,9.2,88,1
10341,2264.78,11.7,178,0
3193,3284.31,1.0,76,1
22002,3412.73,11.9,169,0
27147,2507.19,4.8,74,2
18214,3608.03,10.9,94,2
24079,1520.11,5.1,61,2
25799,3664.17,10.6,79,2
1630,3307.03,3.9,120,1
20028,2786.56,1.6,71,2
9102,2392.66,7.9,125,0
23655,3634.3,6.3,154,3
3627,2620.5,6.4,120,1
13896,2454.06,4.1,106,1
27425,2419.13,3.6,132,3
7899,3331.06,6.8,153,0
12368,2490.77,7.5,112,1
15019,3593.78,2.4,133,3
29038,3676.0,5.0,63,2
9326,1976.22,10.7,124,0
20860,3673.68,3.3,124,3
8161,3465.16,9.5,85,1
28214,2914.26,1.7,86,2
6593,2992.29,3.0,163,3
20881,2841.15,3.4,179,3
11813,2200.34,0.8,86,1
27365,2866.86,4.0,61,2
17808,2941.04,7.0,91,2
18487,2101.09,6.1,120,2
4515,2809.91,9.8,129,0
21507,3381.95,6.4,83,2
17776,2226.37,2.5,143,3
17701,2490.1,0.9,178,3
21470,2661.92,5.2,126,2
15229,3238.96,11.1,143,0
1053,2586.1,1.1,177,3
8813,2052.88,5.8,100,1
1457,3137.66,7.8,96,1
10594,3657.46,1.7,74,1
24135,2993.72,2.0,77,2
20738,2231.11,3.5,69,2
9346,2132.36,0.5,107,3
29360,1567.14,11.4,80,2
3070,2876.91,9.0,65,1
5754,3570.14,2.6,128,3
3015,3526.01,10.7,145,0
21424,2943.52,0.9,159,3
20635,1858.48,9.7,155,0
25669,3804.18,3.2,168,3
18487,2209.0,8.3,130,0
3069,2917.91,7.8,171,0
18724,3404.98,2.2,156,3
1948,2490.6,10.3,144,0
18622,2095.72,10.8,153,0
22925,3196.12,10.1,114,2
19503,3906.31,6.1,81,2
11300,3466.23,2.3,91,1
18504,3512.46,9.3,116,0
21869,3614.79,5.8,77,2
24460,3259.36,2.4,105,2
12534,3718.83,8.1,155,0
20428,2573.6,11.5,96,2
22323,2183.48,4.9,105,2
23103,3580.39,0.2,62,2
6202,2484.79,7.9,75,1
15963,2603.85,6.1,79,2
27117,3505.95,8.4,84,2
12564,2872.47,8.8,93,1
10026,3302.12,11.2,121,0
6021,3271.1,5.5,67,1
4228,3403.93,6.7,82,1
29749,3420.48,1.7,123,3
28953,3932.75,11.3,131,0
7460,3502.55,10.7,141,0
29406,2571.79,10.9,112,2
13224,1626.29,3.2,87,1
25884,1796.98,3.6,167,3
28712,3650.21,7.1,124,2
11294,2347.68,2.3,109,1
3642,2398.26,9.9,77,1
5944,3084.98,3.2,98,1
6205,2667.11,0.4,70,1
12226,3572.24,8.2,175,0
2350,3679.45,2.5,103,1
8400,2521.07,11.4,163,0
2570,3638.77,7.0,67,1
20764,2759.12,10.2,156,0
19468,3685.74,3.5,178,3
20134,3103.12,7.2,124,2
1447,3887.93,3.0,143,3
14970,1926.36,9.1,153,0
27786,1815.44,2.8,155,3
10941,3537.82,11.5,138,0
22117,2357.28,8.7,158,0
16173,2978.81,11.0,77,2
118,1687.03,5.7,99,1
448,1963.27,10.4,133,0
22833,3970.8,1.3,155,3
17360,1524.8,11.8,122,0
5284,2099.56,0.9,139,3
6479,2806.13,0.6,105,1
6320,1502.64,1.5,60,1
17739,2601.87,4.3,149,3
9763,2765.49,11.1,111,0
18749,3530.39,4.7,165,3
1426,3344.41,8.4,132,0
22737,1608.96,2.5,158,3
5216,2169.63,5.9,102,1
4526,2151.28,4.0,163,3
2667,1728.91,1.2,170,3
909,1586.55,2.4,179,3
29136,2211.44,5.5,108,2
13788,2004.98,5.1,178,3
17896,3064.94,1.3,89,2
4254,1890.06,11.9,175,0
21550,3759.77,4.9,70,2
24476,2598.45,3.5,149,3
17215,2571.67,1.7,69,2
24478,1973.66,0.5,176,3
28799,3057.42,8.3,163,0
4366,3536.94,8.0,177,0
11778,2353.17,11.5,119,0
29796,2118.85,10.0,82,2
23688,3737.05,4.3,157,3
27778,3327.52,8.5,83,2
633,2366.39,1.3,172,3
17292,3904.65,9.5,96,2
7027,2342.92,11.4,104,0
3482,2366.9,5.2,80,1
9610,1901.66,8.5,83,1
27865,3033.12,11.1,124,2
8172,1504.07,0.8,143,3
16990,1717.38,11.9,130,0
14816,2871.51,7.0,157,0
11476,1887.38,3.0,161,3
35,1696.92,0.9,154,3
21183,2643.12,4.5,143,3
9190,2686.56,8.5,72,1
17687,3515.0,2.0,157,3
9468,3712.98,0.1,103,1
3361,3450.55,4.6,163,3
22861,1583.38,1.6,60,2
9089,1554.91,9.2,165,0
1771,3828.32,4.7,129,1
25438,3068.07,4.2,65,2
18359,1786.68,5.7,158,3
19857,2691.7,1.1,148,3
11513,3355.76,7.4,139,0
13000,3416.44,5.4,167,3
29796,3762.49,0.7,72,2
17834,2743.05,9.5,74,2
167,2135.04,0.6,96,1
5554,3244.46,5.3,162,3
1698,1957.24,11.2,135,0
12423,1745.92,0.5,135,3
16126,3991.8,1.6,76,1
5567,1569.99,0.3,95,1
21039,2097.78,9.0,69,2
19588,2592.02,7.4,125,0
1150,3278.72,6.7,72,1
25288,3608.07,9.4,78,2
5811,3376.83,8.5,172,0
1334,2276.29,11.4,146,0
16008,3929.24,7.2,86,2
24124,2020.01,1.7,159,3
3410,1648.04,10.2,82,1
10996,1662.72,8.5,101,1
2191,2506.11,7.5,98,1
953,1787.73,2.0,76,1
19722,1901.06,8.3,131,0
16077,1533.08,6.5,96,2
5293,2118.83,7.5,102,1
22859,3876.9,9.2,90,2
28541,2345.14,1.1,103,2
14724,1863.22,11.6,71,2
14384,2738.31,9.6,169,0
7352,2243.8,0.6,61,1
21677,3420.35,9.5,158,0
29013,2810.09,1.0,106,2
11249,2420.41,9.3,84,1
29237,3285.3,0.3,159,3
16874,3600.97,0.9,177,3
22231,2654.66,0.2,160,3
17718,2060.42,7.1,134,0
21697,2333.16,6.5,137,0
21881,3031.23,9.2,128,0
19627,2217.77,3.3,164,3
5817,2174.54,5.9,85,1
20988,2074.56,5.9,148,3
8360,3013.73,0.8,142,3
7312,1653.94,0.7,123,3
463,2936.41,6.1,96,1
7174,2478.03,7.8,95,1
6647,2228.31,4.1,139,3
16358,2042.97,0.7,135,3
16267,2305.33,0.7,93,3
12296,1511.79,11.5,168,0
267,1870.4,9.9,88,1
11211,2619.59,3.6,64,1
16233,2630.72,2.3,176,3
18297,2635.01,8.5,151,0
27866,3966.9,0.7,153,3
292,3661.8,7.4,106,1
23725,3425.97,1.8,80,2
26677,3887.39,4.9,95,2
25997,2277.85,10.1,152,0
16952,3445.53,9.8,179,0
26604,3993.61,5.1,143,3
13187,2820.5,9.6,103,0
5417,3068.29,1.4,163,3
12783,3327.93,7.4,62,1
29862,2050.89,7.7,108,2
28639,2194.05,9.9,167,0
11097,2037.58,7.6,177,0
15252,2723.22,6.9,113,2
17955,2221.95,4.9,73,2
10932,2442.5,9.1,158,0
24360,1642.29,8.3,121,2
26656,2027.2,0.8,164,3
21568,3925.09,9.5,135,0
25212,2176.79,11.5,73,2
4505,3507.23,6.3,89,1
17821,2759.34,3.7,154,3
27028,2847.81,3.7,137,3
10660,3569.28,8.9,150,0
18020,2007.65,5.6,134,3
4604,2837.02,4.1,130,1
12882,2482.05,7.1,148,0
11144,1895.0,8.9,130,0
5111,3112.83,3.7,72,1
8017,3992.53,4.5,146,3
14594,2509.13,0.9,127,3
26431,3837.31,5.5,123,2
15906,3092.76,1.1,154,3
14858,2509.1,7.4,142,0
16030,1752.72,10.3,81,2
9007,3479.69,5.1,152,3
1849,1567.75,1.8,142,3
24977,1528.3,11.3,167,0
4794,1954.05,4.6,161,3
21410,1886.86,7.1,104,2
7154,2471.87,8.3,123,0
10085,3800.85,11.6,74,1
27680,2424.31,1.2,126,3
14222,3376.01,8.8,162,0
22639,3496.26,11.4,116,0
17758,1613.62,0.2,87,2
2258,2675.35,5.0,119,1
29101,3659.43,2.7,76,2
5958,3864.26,4.5,112,1
22294,3516.81,11.1,108,2
25940,2552.14,0.8,166,3
12261,1991.71,5.9,137,0
15514,3352.79,6.3,122,0
18198,2886.95,7.8,127,0
3140,3802.03,8.7,141,0
8736,2501.8,11.1,72,1
16790,3993.02,10.9,150,0
10325,1967.18,9.0,86,1
13833,3227.42,8.6,161,0
20877,2940.48,9.6,90,2
6883,2677.14,10.4,126,0
2545,3204.03,11.9,166,0
2493,3554.42,5.8,97,1
21927,2816.41,4.4,149,3
13936,3479.54,3.6,125,3
22253,1542.43,8.3,67,2
4746,2558.62,9.1,72,1
10047,2101.91,10.5,105,0
26994,3029.84,2.7,110,2
22478,1966.54,9.2,171,0
18347,3462.46,8.0,84,2
2696,3430.9,10.7,107,1
3106,3130.39,9.6,85,1
9979,2211.47,0.3,128,3
18258,3357.4,1.2,156,3
11513,1858.01,1.0,60,1
13905,3609.75,7.8,69,1
22242,2705.94,6.8,151,0
3807,3407.3,8.7,104,1
25734,3903.49,8.6,176,0
9932,1567.78,7.8,88,1
22534,3461.58,3.3,76,2
4079,3989.02,4.3,103,1
9102,2048.83,9.7,136,0
12888,3280.93,9.4,123,0
25475,1719.47,2.5,123,3
19585,1533.05,6.3,79,2
9456,2650.22,4.4,156,3
23352,3447.59,5.9,128,2
18522,3406.69,4.2,74,2
27719,3407.25,2.3,77,2
10474,3261.81,1.1,140,3
16427,2506.07,5.9,108,2
28449,2668.85,0.5,102,2
7262,2907.28,0.2,113,3
23441,1614.74,2.8,101,2
2848,2419.95,5.6,153,0
3614,2317.02,0.9,89,1
7565,2559.25,2.0,69,1
14376,2688.94,5.0,157,3
21420,2125.26,11.6,123,0
4864,3218.4,0.2,132,3
4834,3589.59,11.0,134,0
8884,2144.99,8.8,121,0
4156,2810.94,9.0,112,1
29972,3722.18,6.7,120,2
854,3800.06,11.7,101,1
17997,1777.32,9.1,106,2
13855,3107.64,7.2,146,0
23997,3100.8,2.3,75,2
11418,3281.83,8.5,117,0
21310,1801.13,11.0,119,0
23562,2542.73,1.5,73,2
9032,3806.63,7.5,85,1
25027,2725.63,10.8,123,0
20095,2497.59,4.5,66,2
8095,2188.3,4.4,77,1
3349,1935.12,3.5,83,1
4302,2534.37,11.8,114,0
20999,2294.63,2.7,139,3
15142,2462.6,3.7,138,3
22715,2347.39,2.2,158,3
19438,2592.29,9.9,144,0
19202,1702.39,0.4,148,3
29209,2027.22,8.2,107,2
23610,2344.15,9.5,72,2
26564,3889.18,0.5,73,2
10809,3735.39,0.2,99,1
4887,2288.03,5.2,80,1
15592,2573.03,10.7,154,0
8391,1532.14,2.5,166,3
6317,1700.44,12.0,134,0
6753,3145.31,3.4,132,3
1822,3072.72,6.6,76,1
10328,3197.06,7.6,172,0
7563,3902.87,8.3,169,0
17656,3987.32,8.0,94,2
14640,2220.4,3.5,115,3
14992,3340.0,0.0,89,1
20490,3149.3,0.9,148,3
24186,2409.8,2.3,155,3
19953,2457.23,1.6,82,2
22537,1534.54,0.2,136,3
4473,3434.0,0.8,92,1
8559,2172.95,6.7,67,1
14291,2981.85,10.6,135,0
227,3542.88,11.5,142,0
4902,3942.55,11.8,109,0
26312,3047.8,0.3,179,3
14716,3425.83,5.8,96,1
22968,2060.66,11.4,144,0
5818,2950.08,5.3,103,1
25830,3919.98,3.3,125,3
14395,3500.35,9.6,179,0
9399,3586.99,4.6,141,3
12132,3946.09,6.0,148,0
25347,2949.53,5.1,72,2
22574,2451.37,7.7,78,2
19291,3174.52,10.0,115,0
19495,2015.57,4.0,145,3
7990,3619.76,0.9,76,1
22775,3070.71,9.9,93,2
11088,3957.86,3.5,61,1
14539,3187.49,2.4,123,3
20396,1601.73,3.8,129,3
12943,1550.06,7.3,72,1
18386,2125.62,7.4,143,0
29774,3507.15,4.9,134,2
26753,1806.32,3.2,95,2
28123,2213.0,9.1,77,2
9579,2343.16,7.3,104,1
4160,2292.97,8.5,95,1
22774,3442.6,10.4,67,2
28867,1976.76,11.9,142,0
15825,3340.86,5.6,131,3
2181,3831.53,2.9,60,1
27110,2330.96,9.8,114,2
18899,2660.18,11.6,79,2
18553,3027.02,11.8,72,2
668,1939.41,11.5,136,0
8731,2698.87,9.4,96,1
19138,3413.44,6.1,103,2
14826,3855.41,5.5,138,3
16213,3452.38,6.3,173,0
2770,3248.62,0.1,120,1
2463,3642.36,11.8,169,0
14198,3108.95,1.8,157,3
6873,3813.86,7.3,162,0
15611,3101.44,6.7,152,0
5583,2514.06,1.7,177,3
27970,3660.38,0.6,79,2
1010,3329.23,1.0,102,1
14274,2755.78,2.5,144,3
7636,2794.83,6.4,135,0
28564,3386.33,10.6,101,2
19372,2668.03,3.4,102,2
16099,1546.67,6.3,79,2
11326,1791.07,4.7,68,1
13285,1756.63,11.2,107,0
21649,3844.28,3.5,165,3
6273,2576.39,5.7,75,1
8953,3884.8,7.5,62,1
13821,2165.7,5.1,142,3
20258,2617.08,10.2,140,0
3456,3964.32,4.9,101,1
6939,2806.79,7.6,135,0
20799,3025.1,11.5,81,2
10705,3052.67,4.8,75,1
15412,2594.18,2.0,155,3
24250,1567.06,10.1,147,0
24461,2163.09,6.7,168,0
5857,2752.69,4.9,86,1
24432,2385.57,5.1,128,2
12769,3682.28,9.3,130,0
23302,3515.88,10.2,158,0
24385,1783.63,9.4,81,2
4957,3461.41,6.1,124,1
26233,2759.99,2.1,128,3
25053,1616.29,9.6,165,0
1916,2357.53,0.6,68,1
12418,2994.17,1.4,142,3
1245,3227.59,7.9,117,1
27390,2261.93,8.5,102,2
17998,2376.08,3.1,64,2
19783,3257.98,8.7,68,2
2982,2486.78,0.9,149,3
29777,3009.25,12.0,173,0
1618,1813.25,10.1,168,0
20875,2171.01,10.4,90,2
11382,2730.61,0.6,69,1
23082,2127.53,10.5,166,0
1866,1881.84,9.8,126,0
28219,2566.87,8.4,110,2
2503,3948.26,9.8,116,1
27920,1867.94,5.6,61,2
11139,3637.42,5.4,121,1
6230,3423.27,0.7,136,3
15944,3858.42,9.1,79,2
8471,2220.54,8.2,85,1
2573,2440.32,4.1,87,1
24717,2596.56,4.5,98,2
26647,2782.95,2.4,116,2
19136,3755.8,10.4,158,0
1937,2661.41,10.3,167,0
28751,2982.89,11.1,130,0
1581,2635.67,7.7,147,0
5715,2263.52,5.0,102,1
